times,prices,sellBuyHold,confidence
645,27925.92,1,0.7135061
646,27961.39,1,0.6601779
647,27992.61,1,0.5908637
648,27959.9,1,0.6216264
649,27994.4,1,0.55395466
650,27948.18,1,0.59923124
651,27953.58,1,0.579338
652,27994.86,1,0.48045182
653,28031.37,2,0.3916412
654,28012.88,2,0.39359307
655,28039.73,2,0.40366244
656,28075.15,2,0.39899743
657,28088.24,0,0.40383565
658,28083.58,0,0.41171774
659,28057.2,2,0.4021611
660,27995.8,2,0.3939979
661,28015.85,2,0.40534112
662,28059.01,0,0.40405893
663,28036.74,2,0.40995222
664,28059.21,0,0.42872
665,28038.38,2,0.41287538
666,28055.99,0,0.43226445
667,28045.01,0,0.42021814
668,28033.47,2,0.4233164
669,27968.65,2,0.4275226
670,27975.16,2,0.433401
671,28029.35,2,0.4065899
672,28009.44,2,0.4197332
673,28020.62,2,0.41968322
674,28014.14,2,0.4324883
675,28031.85,2,0.42347348
676,28025.44,2,0.42731085
677,27998.88,2,0.44181564
678,28062.53,0,0.42556238
679,28115.01,0,0.5140134
680,28180.37,0,0.5665557
681,28215.25,0,0.59014827
682,28212.19,0,0.58786756
683,28234.19,0,0.59143203
684,28280.0,0,0.60582685
685,28275.8,0,0.597922
686,28264.33,0,0.5861749
687,28247.67,0,0.56923276
688,28211.69,0,0.52777565
689,28214.76,0,0.52175087
690,28247.35,0,0.55277425
691,28270.0,0,0.5643626
692,28266.49,0,0.55284864
693,28207.49,0,0.4694702
694,28222.64,0,0.46669322
695,28207.4,0,0.43796262
696,28203.88,2,0.43400386
697,28180.09,2,0.4572539
698,28187.1,2,0.46240854
699,28163.29,2,0.49313527
700,28172.46,2,0.51327634
701,28158.3,2,0.52648646
702,28198.78,2,0.4932246
703,28208.28,2,0.47641352
704,28208.28,2,0.4854985
705,28182.34,2,0.50542563
706,28176.36,2,0.5138514
707,28182.13,2,0.52156234
708,28167.52,2,0.52999675
709,28153.84,2,0.5385174
710,28167.51,2,0.5418236
711,28183.13,2,0.5352771
712,28169.25,2,0.53655785
713,28158.71,2,0.53780746
714,28146.62,2,0.53525674
715,28150.8,2,0.53888655
716,28142.08,2,0.53958374
717,28128.08,2,0.52908283
718,28152.51,2,0.5475635
719,28160.19,2,0.55332375
720,28191.35,2,0.5433148
721,28182.82,2,0.55029553
722,28224.15,2,0.5082304
723,28181.12,2,0.5185771
724,28161.97,2,0.5208023
725,28160.89,2,0.53496176
726,28152.21,2,0.5395123
727,28180.31,2,0.54247886
728,28201.28,2,0.5342804
729,28179.89,2,0.5411647
730,28179.19,2,0.5541256
731,28198.88,2,0.551021
732,28182.34,2,0.55123603
733,28204.36,2,0.53944945
734,28182.77,2,0.54748315
735,28173.02,2,0.5570861
736,28159.14,2,0.5593646
737,28058.47,1,0.4641389
738,28093.98,2,0.45209235
739,28095.67,2,0.47903314
740,28069.28,2,0.45806116
741,28123.17,2,0.50042415
742,28123.57,2,0.51869226
743,28118.35,2,0.5293541
744,28007.68,1,0.52296305
745,28001.1,1,0.5495634
746,27966.59,1,0.5892373
747,28004.59,1,0.5161897
748,27998.35,1,0.50763214
749,28030.29,1,0.43539608
750,28006.47,1,0.45787835
751,28007.48,1,0.45196554
752,27910.16,1,0.60117525
753,27955.49,1,0.54027754
754,27982.75,1,0.48496145
755,28014.26,2,0.43557644
756,28044.26,2,0.46573484
757,28037.8,2,0.47858953
758,28086.66,2,0.48973843
759,28086.58,2,0.49993825
760,28089.02,2,0.5071306
761,28059.05,2,0.51212054
762,28064.59,2,0.5266937
763,28069.89,2,0.528229
764,28085.07,2,0.5339685
765,28070.46,2,0.54271877
766,28069.75,2,0.5483796
767,28050.22,2,0.5297697
768,28061.08,2,0.5351168
769,28013.57,2,0.5030772
770,28009.18,2,0.499713
771,28049.54,2,0.51329374
772,28051.12,2,0.5150126
773,28083.26,2,0.49854827
774,28076.05,2,0.5048489
775,28086.89,2,0.51413435
776,28060.81,2,0.520759
777,28089.07,2,0.50532186
778,28089.05,2,0.504754
779,28089.06,2,0.51013166
780,28081.63,2,0.52203643
781,28078.29,2,0.535806
782,28071.52,2,0.55003786
783,28136.34,2,0.45734638
784,28124.78,2,0.4528875
785,28104.16,2,0.46986112
786,28111.63,2,0.47482252
787,28092.29,2,0.5024041
788,28111.79,2,0.50253034
789,28094.83,2,0.52447605
790,28100.77,2,0.53502
791,28101.4,2,0.5463528
792,28085.15,2,0.5633404
793,28105.35,2,0.5500226
794,28087.09,2,0.5525338
795,28070.95,2,0.5639233
796,28051.53,2,0.5661255
797,28060.36,2,0.57881606
798,28064.74,2,0.5831236
799,28064.74,2,0.5839344
800,28076.37,2,0.5892987
801,28076.36,2,0.5933999
802,28076.36,2,0.5973356
803,28042.95,2,0.5865813
804,28040.57,2,0.5875854
805,28014.98,2,0.5417794
806,27996.14,2,0.51819867
807,28035.37,2,0.54548794
808,28038.66,2,0.56298953
809,28032.92,2,0.56988025
810,28040.79,2,0.58534014
811,28020.52,2,0.57345873
812,28020.54,2,0.58003366
813,28020.54,2,0.59209937
814,28028.62,2,0.60641897
815,28063.07,2,0.6125607
816,28062.1,2,0.61721116
817,28061.85,2,0.6222968
818,28061.83,2,0.62802255
819,28058.81,2,0.63198924
820,28061.85,2,0.6317126
821,28058.35,2,0.6350112
822,28063.67,2,0.61993325
823,28062.78,2,0.61509824
824,28037.37,2,0.609216
825,28012.53,2,0.5897567
826,28032.77,2,0.6092587
827,28030.2,2,0.6164493
828,28014.59,2,0.61111724
829,28002.29,2,0.5884832
830,27932.13,2,0.45898274
831,27966.19,2,0.5004275
832,27923.89,2,0.45917624
833,27890.89,1,0.5144846
834,27938.79,2,0.4695835
835,27938.73,2,0.50505614
836,27906.73,2,0.46455365
837,27906.7,2,0.47675863
838,27914.8,2,0.5060773
839,27971.23,2,0.55058444
840,27958.36,2,0.566
841,27981.22,2,0.5849562
842,27964.42,2,0.586754
843,27950.69,2,0.57184434
844,27962.08,2,0.58588344
845,27955.9,2,0.5883889
846,27964.38,2,0.6029751
847,27964.9,2,0.6138017
848,28008.0,2,0.61186105
849,27997.84,2,0.60955346
850,28013.62,2,0.59353405
851,27997.9,2,0.598686
852,28002.85,2,0.60269195
853,27964.92,2,0.59357953
854,27947.28,2,0.5825765
855,27936.6,2,0.5826641
856,27903.34,2,0.54449993
857,27846.96,1,0.4776974
858,27893.08,2,0.4864677
859,27872.73,2,0.4821753
860,27874.31,2,0.49201098
861,27840.0,2,0.44860765
862,27898.6,2,0.5076601
863,27870.92,2,0.50355136
864,27815.69,1,0.50350416
865,27840.54,1,0.44194394
866,27845.15,2,0.45851576
867,27845.18,2,0.47708067
868,27844.43,2,0.496515
869,27875.9,2,0.5284457
870,27900.71,2,0.53593194
871,27920.46,2,0.54311377
872,27920.54,2,0.5425519
873,27905.35,2,0.55366176
874,27906.61,2,0.5607062
875,27932.08,2,0.5586275
876,27923.06,2,0.5679239
877,27946.66,2,0.5614491
878,27946.66,2,0.56173724
879,27937.11,2,0.5730856
880,27949.92,2,0.5684398
881,27944.24,2,0.5748593
882,27938.76,2,0.57752556
883,27917.0,2,0.5864066
884,27884.13,2,0.5733913
885,27963.3,2,0.53119904
886,28031.93,0,0.45370755
887,27939.25,2,0.42202124
888,27943.72,2,0.4478773
889,27927.88,2,0.47029403
890,27889.46,2,0.48287985
891,27890.88,2,0.505703
892,27912.15,2,0.5217233
893,27907.83,2,0.5310299
894,27908.47,2,0.54335195
895,27940.07,2,0.52934164
896,27955.65,2,0.5115263
897,27978.48,2,0.48912218
898,27949.56,2,0.5191603
899,27890.35,2,0.5075928
900,27863.95,2,0.47659063
901,27866.39,2,0.4727274
902,27791.29,1,0.5163293
903,27871.16,2,0.43815824
904,27901.2,2,0.45471472
905,27915.67,2,0.43698934
906,27929.59,2,0.44284868
907,27934.61,2,0.452346
908,27933.29,2,0.4548373
909,27922.78,2,0.47974005
910,27935.55,2,0.4853514
911,27961.21,2,0.47469276
912,27916.62,2,0.4946393
913,27915.2,2,0.51165336
914,27954.09,2,0.5022437
915,27963.97,2,0.48728153
916,27948.93,2,0.4951069
917,28005.17,2,0.44598344
918,28043.44,0,0.442222
919,28050.97,0,0.45455363
920,28024.86,2,0.42049795
921,28059.16,0,0.4412646
922,28075.49,0,0.46166122
923,28131.01,0,0.5195473
924,28155.29,0,0.53637457
925,28142.68,0,0.52379185
926,28133.89,0,0.49973193
927,28111.2,0,0.45553392
928,28089.26,2,0.424379
929,28100.95,2,0.43130326
