timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_HLPercent
1651644000,38093.52,37670.18,38123.32,1414744.79,0.011886163
1651665600,39001.47,38088.06,39075.17,7950767.15,0.025261822
1651687200,38999.75,38649,39428.95,8051638.01,0.019781151
1651708800,39682.71,38629,40000,14633281.85,0.034275
1651730400,39600.8,39554.64,39823.41,1709933.86,0.006749045
1651752000,39477.69,39423.41,39689.95,1805185.93,0.006715554
1651773600,36827.54,36575,39540,31515192.29,0.074987355
1651795200,36549.24,35592.37,36844.11,20937901.05,0.033973951
1651816800,36504.97,36177.9,36654.44,2702414.94,0.013000881
1651838400,35794.94,35600,36550.42,11530016.77,0.026002984
1651860000,35896.04,35289.8,36415,28335565.05,0.030899355
1651881600,36011.49,35841.65,36149.8,5254759.24,0.008524252
1651903200,35887.51,35738.73,36065.43,2135457.27,0.009058536
1651924800,36046,35789.67,36131.95,757459.58,0.009473056
1651946400,35879.61,35869.21,36061,585586.48,0.005318488
1651968000,35469.78,34785.94,35997.99,4369885.17,0.033669935
1651989600,34445.53,34246.67,35507.6,5397582.84,0.035511552
1652011200,34785.84,34446.72,34930.07,1910195.18,0.013837648
1652032800,34066.69,33720,34832.95,5421632.33,0.031951069
1652054400,34051.92,33878.36,34702.73,2748778.5,0.023755192
1652076000,33524.13,33296.87,34232.1,2303598.29,0.027320264
1652097600,33115.48,32670,33763.57,9641730.45,0.032389051
1652119200,31294.83,31000,33382.69,25566114.38,0.071375015
1652140800,30085.67,30042.3,31877.88,22662007.12,0.057581621
1652162400,31835.4,29758.87,31983.25,14324084.78,0.069548279
1652184000,31620.7,31265.47,32621.66,10328292.72,0.041573298
1652205600,31672.36,30863.25,32361.33,15230576.74,0.046292288
1652227200,31019.11,30192.25,31790.81,9604514.96,0.050283714
1652248800,31425.49,30637,31864.04,6901982.46,0.038508613
1652270400,31499.94,30201.51,32146.03,9888039.55,0.060490207
1652292000,29882.49,29122,32000,22894747.81,0.0899375
1652313600,29105.02,27768.81,30234.29,10419559.67,0.081545821
1652335200,27088.17,26796.93,30190.99,14484574.25,0.112419632
1652356800,28516.6,26753.16,29301.42,14654668.62,0.086967116
1652378400,28685.75,27915.68,29935.92,8404004.41,0.067485482
1652400000,28972.88,28010,29284.31,3190016.17,0.043515111
1652421600,30525.11,28773.51,31048.32,4644316.66,0.073266766
1652443200,30642.41,30167.56,30764.63,2552944.69,0.019407677
1652464800,29625.44,29586,31004.28,3491220.23,0.045744652
1652486400,29338.22,29221.09,30208.2,2648969.54,0.032676889
1652508000,29469.42,29223.39,29820.81,910410.6,0.020033661
1652529600,29075.28,28850.4,29597.07,1010586.36,0.025227835
1652551200,29592.36,28676,29651.42,1969621.25,0.032896232
1652572800,30088.15,29300.17,30323.04,1403716.75,0.033732436
1652594400,29786.31,29509.29,30260.75,708388.69,0.024832828
1652616000,30252.09,29567.3,30286.11,1258083.5,0.023733982
1652637600,29991.86,29800,30534.04,1307358.2,0.024040055
1652659200,31316.1,29941.48,31440.47,1979316.08,0.047677086
1652680800,30287.36,30156.81,31317.66,1302183.86,0.037066946
1652702400,29960.57,29340,30276.76,2134612.99,0.030939902
1652724000,29729.29,29138.68,30233.22,3409778.2,0.036203223
1652745600,29864.26,29551.16,30241.38,1196439.94,0.022823694
1652767200,30487.8,29797.68,30518.81,789606.09,0.023629034
1652788800,30322.98,30282.27,30771.78,1128032.22,0.015907757
1652810400,30100,29900,30733.95,2364690.25,0.027134488
1652832000,30446.79,29465.33,30650,2444068.46,0.03865155
1652853600,30033.76,29752.71,30690.03,862408.99,0.030541515
1652875200,29839.3,29690,30083.62,922662.59,0.013084197
1652896800,28978.8,28764.07,29902.45,3341497.71,0.03806979
1652918400,28720.38,28660,29516.97,1982854.14,0.029033129
1652940000,29066,28687.87,29324.02,860799.8,0.02169382
1652961600,29502.06,28854.4,29528.87,2059813.47,0.022841037
1652983200,30184.65,29363.2,30525,4660002.81,0.038060606
1653004800,30292.59,29953.62,30459.54,2461221.28,0.016609575
1653026400,30173.86,30020.53,30639.41,909741.79,0.020198822
1653048000,30411.37,29851.04,30515.62,1524467.26,0.021778355
1653069600,28955.92,28724.89,30444.73,4659466.27,0.056490565
1653091200,29207.22,28820.79,29382.55,1517736.94,0.019118831
1653112800,29294.34,28968.11,29342.78,610702.43,0.012768729
1653134400,29285.31,29172.55,29554.78,940148.61,0.012932933
1653156000,29407.41,29192.64,29646.21,1677652.49,0.015299426
1653177600,29452,29320.95,29568.53,683179.69,0.008373091
1653199200,29372.14,29267.1,29547.06,237474.6,0.009475054
1653220800,29890.99,29362,30294.25,1816205.24,0.030773167
1653242400,29930.33,29678.46,30191.87,1883933.91,0.017004909
1653264000,30297.87,29848.67,30470,1590959.42,0.020391533
1653285600,30320.08,30057.83,30448.24,657136.64,0.012822088
